"Representative","Office Running For","Total Raised"
" Linda McMahon (R)","Connecticut Senate","$50302456"
" Elizabeth Warren (D)","Massachusetts Senate","$42506349"
" David H Dewhurst (R)","Texas Senate","$28576174"
" Scott Brown (R)*","Massachusetts Senate","$28159602"
" Tom Smith (R)","Pennsylvania Senate","$21299108"
" Sherrod Brown (D)*","Ohio Senate","$20944796"
" Josh Mandel (R)","Ohio Senate","$18912557"
" Claire McCaskill (D)*","Missouri Senate","$18836531"
" Tim Kaine (D)","Virginia Senate","$18045722"
" Kirsten Gillibrand (D)*","New York Senate","$15735457"
